,fuzzer,covered_targets,time,target,covered_edges,rank,micro_benchmark
3094,entropic,33,60,33,1802,5,libpcap_fuzz_both-IDX76
3095,libfuzzer,33,60,33,1792,6,libpcap_fuzz_both-IDX76
3096,honggfuzz,203,180,209,3997,1,bloaty_fuzz_target-IDX55
3097,afl,188,360,209,3975,2,bloaty_fuzz_target-IDX55
3098,eclipser,184,360,209,3937,3,bloaty_fuzz_target-IDX55
3099,entropic,180,660,209,3657,4,bloaty_fuzz_target-IDX55
3100,aflplusplus,177,60,209,2771,5,bloaty_fuzz_target-IDX55
3101,libfuzzer,153,720,209,1519,6,bloaty_fuzz_target-IDX55
3102,libfuzzer,247,60,247,1929,1,openthread-2019-12-23-IDX18
3103,afl,247,60,247,1809,2,openthread-2019-12-23-IDX18
3104,eclipser,247,60,247,1757,3,openthread-2019-12-23-IDX18
3105,entropic,247,120,247,1970,4,openthread-2019-12-23-IDX18
3106,aflplusplus,247,120,247,1818,5,openthread-2019-12-23-IDX18
3107,honggfuzz,247,240,247,1823,6,openthread-2019-12-23-IDX18
3108,aflplusplus,75,60,75,5746,1,libxslt_xpath-IDX84
3109,entropic,75,60,75,5736,2,libxslt_xpath-IDX84
3110,libfuzzer,75,60,75,5666,3,libxslt_xpath-IDX84
3111,eclipser,75,60,75,5610,4,libxslt_xpath-IDX84
3112,honggfuzz,75,60,75,5598,5,libxslt_xpath-IDX84
3113,afl,75,60,75,5578,6,libxslt_xpath-IDX84
3114,libfuzzer,1169,900,1176,10430,1,php_php-fuzz-parser-IDX2
3115,aflplusplus,1147,840,1176,10456,2,php_php-fuzz-parser-IDX2
3116,entropic,1145,900,1176,10382,3,php_php-fuzz-parser-IDX2
3117,honggfuzz,1135,900,1176,10210,4,php_php-fuzz-parser-IDX2
3118,afl,1131,900,1176,10209,5,php_php-fuzz-parser-IDX2
3119,eclipser,1089,900,1176,9427,6,php_php-fuzz-parser-IDX2
3120,honggfuzz,41,480,75,2781,1,proj4-2017-08-14-IDX32
3121,aflplusplus,41,660,75,2807,2,proj4-2017-08-14-IDX32
3122,libfuzzer,38,480,75,2873,3,proj4-2017-08-14-IDX32
3123,entropic,33,840,75,2991,4,proj4-2017-08-14-IDX32
3124,afl,27,120,75,1835,5,proj4-2017-08-14-IDX32
3125,eclipser,27,540,75,2215,6,proj4-2017-08-14-IDX32
3126,afl,179,780,179,2537,1,openthread-2019-12-23-IDX92
3127,honggfuzz,173,660,179,2524,2,openthread-2019-12-23-IDX92
3128,entropic,163,720,179,2566,3,openthread-2019-12-23-IDX92
3129,libfuzzer,163,900,179,2411,4,openthread-2019-12-23-IDX92
3130,eclipser,161,780,179,2539,5,openthread-2019-12-23-IDX92
3131,aflplusplus,133,420,179,2461,6,openthread-2019-12-23-IDX92
3132,honggfuzz,217,120,217,5220,1,libxml2-v2.9.2-IDX63
3133,entropic,217,420,217,4894,2,libxml2-v2.9.2-IDX63
3134,aflplusplus,204,900,217,5420,3,libxml2-v2.9.2-IDX63
3135,eclipser,198,660,217,4564,4,libxml2-v2.9.2-IDX63
3136,libfuzzer,180,180,217,3726,5,libxml2-v2.9.2-IDX63
3137,afl,100,60,217,1979,6,libxml2-v2.9.2-IDX63
3138,aflplusplus,287,900,369,4659,1,harfbuzz-1.3.2-IDX72
3139,honggfuzz,51,360,369,2934,2,harfbuzz-1.3.2-IDX72
3140,eclipser,43,60,369,2532,3,harfbuzz-1.3.2-IDX72
3141,libfuzzer,42,60,369,2729,4,harfbuzz-1.3.2-IDX72
3142,afl,42,60,369,2715,5,harfbuzz-1.3.2-IDX72
3143,entropic,42,60,369,2642,6,harfbuzz-1.3.2-IDX72
3144,aflplusplus,11,60,11,8403,1,sqlite3_ossfuzz-IDX99
3145,eclipser,11,60,11,8381,2,sqlite3_ossfuzz-IDX99
3146,afl,11,60,11,8146,3,sqlite3_ossfuzz-IDX99
3147,honggfuzz,11,60,11,7999,4,sqlite3_ossfuzz-IDX99
3148,entropic,11,60,11,7482,5,sqlite3_ossfuzz-IDX99
3149,libfuzzer,11,60,11,7176,6,sqlite3_ossfuzz-IDX99
3150,aflplusplus,56,120,59,5728,1,libxslt_xpath-IDX56
3151,entropic,56,120,59,5681,2,libxslt_xpath-IDX56
3152,honggfuzz,56,120,59,5514,3,libxslt_xpath-IDX56
3153,afl,56,180,59,5772,4,libxslt_xpath-IDX56
3154,eclipser,56,180,59,5678,5,libxslt_xpath-IDX56
3155,libfuzzer,56,600,59,5877,6,libxslt_xpath-IDX56
3156,honggfuzz,2,60,2,183,1,systemd_fuzz-link-parser-IDX80
3157,afl,2,60,2,182,2,systemd_fuzz-link-parser-IDX80
3158,entropic,2,60,2,182,2,systemd_fuzz-link-parser-IDX80
3159,libfuzzer,2,60,2,182,2,systemd_fuzz-link-parser-IDX80
3160,eclipser,2,60,2,175,3,systemd_fuzz-link-parser-IDX80
3161,aflplusplus,2,60,2,174,4,systemd_fuzz-link-parser-IDX80
3162,honggfuzz,37,60,37,4060,1,curl_curl_fuzzer_http-IDX20
3163,afl,37,120,37,4394,2,curl_curl_fuzzer_http-IDX20
3164,entropic,37,240,37,4420,3,curl_curl_fuzzer_http-IDX20
3165,aflplusplus,36,60,37,4698,4,curl_curl_fuzzer_http-IDX20
3166,libfuzzer,36,60,37,3976,5,curl_curl_fuzzer_http-IDX20
3167,eclipser,36,120,37,4313,6,curl_curl_fuzzer_http-IDX20
3168,aflplusplus,17,60,17,1300,1,lcms-2017-03-21-IDX15
3169,honggfuzz,17,60,17,1260,2,lcms-2017-03-21-IDX15
3170,eclipser,17,60,17,1253,3,lcms-2017-03-21-IDX15
3171,entropic,17,60,17,1243,4,lcms-2017-03-21-IDX15
3172,libfuzzer,17,60,17,1221,5,lcms-2017-03-21-IDX15
3173,afl,17,60,17,1178,6,lcms-2017-03-21-IDX15
3174,entropic,32,300,32,1146,1,vorbis-2017-12-11-IDX3
3175,aflplusplus,32,420,32,1147,2,vorbis-2017-12-11-IDX3
3176,afl,32,480,32,1101,3,vorbis-2017-12-11-IDX3
3177,honggfuzz,29,300,32,1139,4,vorbis-2017-12-11-IDX3
3178,libfuzzer,29,660,32,1143,5,vorbis-2017-12-11-IDX3
3179,eclipser,24,480,32,1131,6,vorbis-2017-12-11-IDX3
3180,entropic,63,60,63,513,1,jsoncpp_jsoncpp_fuzzer-IDX48
3181,libfuzzer,63,60,63,511,2,jsoncpp_jsoncpp_fuzzer-IDX48
3182,aflplusplus,63,60,63,511,2,jsoncpp_jsoncpp_fuzzer-IDX48
3183,honggfuzz,63,60,63,509,3,jsoncpp_jsoncpp_fuzzer-IDX48
3184,eclipser,63,60,63,507,4,jsoncpp_jsoncpp_fuzzer-IDX48
3185,afl,63,120,63,511,5,jsoncpp_jsoncpp_fuzzer-IDX48
3186,entropic,341,600,859,4317,1,freetype2-2017-IDX37
3187,libfuzzer,247,840,859,4870,2,freetype2-2017-IDX37
3188,honggfuzz,245,900,859,6124,3,freetype2-2017-IDX37
3189,afl,232,660,859,4476,4,freetype2-2017-IDX37
3190,eclipser,173,900,859,3266,5,freetype2-2017-IDX37
3191,aflplusplus,142,540,859,2559,6,freetype2-2017-IDX37
3192,libfuzzer,197,60,197,2384,1,re2-2014-12-09-IDX0
3193,honggfuzz,197,60,197,2312,2,re2-2014-12-09-IDX0
3194,aflplusplus,197,60,197,2236,3,re2-2014-12-09-IDX0
3195,eclipser,197,60,197,2230,4,re2-2014-12-09-IDX0
3196,entropic,197,60,197,2166,5,re2-2014-12-09-IDX0
3197,afl,197,60,197,2164,6,re2-2014-12-09-IDX0
3198,eclipser,15,60,23,141,1,systemd_fuzz-link-parser-IDX77
3199,afl,15,60,23,139,2,systemd_fuzz-link-parser-IDX77
3200,entropic,15,60,23,139,2,systemd_fuzz-link-parser-IDX77
3201,libfuzzer,15,60,23,136,3,systemd_fuzz-link-parser-IDX77
3202,honggfuzz,15,60,23,135,4,systemd_fuzz-link-parser-IDX77
3203,aflplusplus,15,60,23,129,5,systemd_fuzz-link-parser-IDX77
3204,entropic,161,720,1137,1999,1,bloaty_fuzz_target-IDX82
3205,eclipser,146,900,1137,1885,2,bloaty_fuzz_target-IDX82
3206,honggfuzz,142,780,1137,1831,3,bloaty_fuzz_target-IDX82
3207,afl,135,900,1137,1586,4,bloaty_fuzz_target-IDX82
3208,aflplusplus,125,60,1137,1603,5,bloaty_fuzz_target-IDX82
3209,libfuzzer,91,360,1137,1860,6,bloaty_fuzz_target-IDX82
3210,aflplusplus,286,120,1591,4862,1,curl_curl_fuzzer_http-IDX88
3211,honggfuzz,232,480,1591,4576,2,curl_curl_fuzzer_http-IDX88
3212,eclipser,221,300,1591,4500,3,curl_curl_fuzzer_http-IDX88
3213,entropic,217,420,1591,4508,4,curl_curl_fuzzer_http-IDX88
3214,afl,217,840,1591,4530,5,curl_curl_fuzzer_http-IDX88
3215,libfuzzer,215,660,1591,4390,6,curl_curl_fuzzer_http-IDX88
3216,libfuzzer,47,60,47,514,1,jsoncpp_jsoncpp_fuzzer-IDX23
3217,entropic,47,60,47,513,2,jsoncpp_jsoncpp_fuzzer-IDX23
3218,eclipser,47,60,47,510,3,jsoncpp_jsoncpp_fuzzer-IDX23
3219,honggfuzz,47,60,47,508,4,jsoncpp_jsoncpp_fuzzer-IDX23
3220,aflplusplus,47,60,47,508,4,jsoncpp_jsoncpp_fuzzer-IDX23
3221,afl,47,60,47,501,5,jsoncpp_jsoncpp_fuzzer-IDX23
3222,libfuzzer,4,60,4,2023,1,openthread-2019-12-23-IDX82
3223,entropic,4,60,4,2017,2,openthread-2019-12-23-IDX82
3224,afl,4,60,4,1998,3,openthread-2019-12-23-IDX82
3225,aflplusplus,4,60,4,1979,4,openthread-2019-12-23-IDX82
3226,eclipser,4,60,4,1978,5,openthread-2019-12-23-IDX82
3227,honggfuzz,4,60,4,1950,6,openthread-2019-12-23-IDX82
3228,aflplusplus,74,180,74,1760,1,libjpeg-turbo-07-2017-IDX57
3229,libfuzzer,61,120,74,1316,2,libjpeg-turbo-07-2017-IDX57
3230,entropic,61,360,74,1358,3,libjpeg-turbo-07-2017-IDX57
3231,eclipser,59,60,74,1409,4,libjpeg-turbo-07-2017-IDX57
3232,afl,59,60,74,1375,5,libjpeg-turbo-07-2017-IDX57
3233,honggfuzz,59,60,74,1290,6,libjpeg-turbo-07-2017-IDX57
3234,afl,13,60,21,139,1,systemd_fuzz-link-parser-IDX17
3235,entropic,13,60,21,138,2,systemd_fuzz-link-parser-IDX17
3236,libfuzzer,13,60,21,136,3,systemd_fuzz-link-parser-IDX17
3237,honggfuzz,13,60,21,135,4,systemd_fuzz-link-parser-IDX17
3238,eclipser,13,60,21,131,5,systemd_fuzz-link-parser-IDX17
3239,aflplusplus,12,60,21,132,6,systemd_fuzz-link-parser-IDX17
3240,afl,13,60,35,3842,1,bloaty_fuzz_target-IDX58
3241,honggfuzz,13,60,35,3742,2,bloaty_fuzz_target-IDX58
3242,libfuzzer,13,60,35,3644,3,bloaty_fuzz_target-IDX58
3243,entropic,13,60,35,3584,4,bloaty_fuzz_target-IDX58
3244,aflplusplus,13,60,35,3545,5,bloaty_fuzz_target-IDX58
3245,eclipser,13,60,35,3428,6,bloaty_fuzz_target-IDX58
3246,honggfuzz,136,60,136,6040,1,libxml2-v2.9.2-IDX65
3247,entropic,136,60,136,5295,2,libxml2-v2.9.2-IDX65
3248,libfuzzer,136,60,136,4669,3,libxml2-v2.9.2-IDX65
3249,aflplusplus,136,120,136,5134,4,libxml2-v2.9.2-IDX65
3250,afl,135,60,136,4400,5,libxml2-v2.9.2-IDX65
3251,eclipser,135,60,136,3954,6,libxml2-v2.9.2-IDX65
3252,libfuzzer,176,60,180,5612,1,libxslt_xpath-IDX30
3253,aflplusplus,176,120,180,5788,2,libxslt_xpath-IDX30
3254,honggfuzz,176,120,180,5519,3,libxslt_xpath-IDX30
3255,entropic,176,180,180,5730,4,libxslt_xpath-IDX30
3256,eclipser,176,540,180,5749,5,libxslt_xpath-IDX30
3257,afl,172,120,180,5425,6,libxslt_xpath-IDX30
3258,afl,221,600,223,6514,1,libxslt_xpath-IDX72
3259,eclipser,221,900,223,6458,2,libxslt_xpath-IDX72
3260,libfuzzer,218,900,223,5933,3,libxslt_xpath-IDX72
3261,entropic,216,180,223,5907,4,libxslt_xpath-IDX72
3262,aflplusplus,215,840,223,6502,5,libxslt_xpath-IDX72
3263,honggfuzz,213,540,223,6004,6,libxslt_xpath-IDX72
3264,honggfuzz,298,720,393,6789,1,libxml2-v2.9.2-IDX87
3265,eclipser,273,600,393,5628,2,libxml2-v2.9.2-IDX87
3266,aflplusplus,261,600,393,6053,3,libxml2-v2.9.2-IDX87
3267,afl,238,900,393,5280,4,libxml2-v2.9.2-IDX87
3268,libfuzzer,185,600,393,5034,5,libxml2-v2.9.2-IDX87
3269,entropic,175,780,393,5166,6,libxml2-v2.9.2-IDX87
3270,honggfuzz,158,660,167,4423,1,bloaty_fuzz_target-IDX61
3271,entropic,129,900,167,4100,2,bloaty_fuzz_target-IDX61
3272,eclipser,127,600,167,4294,3,bloaty_fuzz_target-IDX61
3273,afl,127,780,167,4147,4,bloaty_fuzz_target-IDX61
3274,libfuzzer,121,660,167,4056,5,bloaty_fuzz_target-IDX61
3275,aflplusplus,102,420,167,3601,6,bloaty_fuzz_target-IDX61
3276,eclipser,125,60,228,3116,1,openssl_x509-IDX25
3277,aflplusplus,125,60,228,3028,2,openssl_x509-IDX25
3278,libfuzzer,125,120,228,2673,3,openssl_x509-IDX25
3279,afl,125,180,228,3297,4,openssl_x509-IDX25
3280,entropic,125,600,228,3328,5,openssl_x509-IDX25
3281,honggfuzz,124,60,228,2578,6,openssl_x509-IDX25
3282,aflplusplus,55,60,965,1768,1,openssl_x509-IDX88
3283,libfuzzer,54,60,965,1772,2,openssl_x509-IDX88
3284,entropic,54,60,965,1765,3,openssl_x509-IDX88
3285,honggfuzz,54,60,965,1755,4,openssl_x509-IDX88
3286,afl,54,60,965,1749,5,openssl_x509-IDX88
3287,eclipser,54,60,965,1735,6,openssl_x509-IDX88
3288,aflplusplus,36,360,131,793,1,lcms-2017-03-21-IDX70
3289,eclipser,36,780,131,701,2,lcms-2017-03-21-IDX70
3290,afl,22,720,131,697,3,lcms-2017-03-21-IDX70
3291,honggfuzz,15,720,131,666,4,lcms-2017-03-21-IDX70
3292,entropic,15,840,131,617,5,lcms-2017-03-21-IDX70
3293,libfuzzer,12,60,131,560,6,lcms-2017-03-21-IDX70
3294,honggfuzz,33,540,33,1456,1,lcms-2017-03-21-IDX69
3295,entropic,27,480,33,1396,2,lcms-2017-03-21-IDX69
3296,aflplusplus,9,120,33,1375,3,lcms-2017-03-21-IDX69
3297,libfuzzer,9,420,33,1363,4,lcms-2017-03-21-IDX69
3298,afl,8,60,33,1281,5,lcms-2017-03-21-IDX69
3299,eclipser,8,60,33,1230,6,lcms-2017-03-21-IDX69
3300,honggfuzz,104,300,104,2738,1,proj4-2017-08-14-IDX23
3301,libfuzzer,104,600,104,3281,2,proj4-2017-08-14-IDX23
3302,entropic,100,540,104,2986,3,proj4-2017-08-14-IDX23
3303,aflplusplus,81,120,104,1969,4,proj4-2017-08-14-IDX23
3304,eclipser,81,540,104,1986,5,proj4-2017-08-14-IDX23
3305,afl,81,660,104,2106,6,proj4-2017-08-14-IDX23
3306,aflplusplus,20,300,56,1324,1,lcms-2017-03-21-IDX87
3307,entropic,19,780,56,1113,2,lcms-2017-03-21-IDX87
3308,libfuzzer,18,240,56,1043,3,lcms-2017-03-21-IDX87
3309,honggfuzz,18,600,56,1369,4,lcms-2017-03-21-IDX87
3310,eclipser,18,720,56,1388,5,lcms-2017-03-21-IDX87
3311,afl,18,780,56,1346,6,lcms-2017-03-21-IDX87
3312,aflplusplus,95,60,95,2388,1,re2-2014-12-09-IDX26
3313,honggfuzz,95,60,95,2278,2,re2-2014-12-09-IDX26
3314,entropic,95,60,95,2201,3,re2-2014-12-09-IDX26
3315,libfuzzer,95,60,95,2201,3,re2-2014-12-09-IDX26
3316,afl,95,60,95,2199,4,re2-2014-12-09-IDX26
3317,eclipser,95,120,95,2359,5,re2-2014-12-09-IDX26
3318,libfuzzer,518,60,518,2368,1,re2-2014-12-09-IDX82
3319,aflplusplus,518,60,518,2356,2,re2-2014-12-09-IDX82
3320,entropic,518,60,518,2328,3,re2-2014-12-09-IDX82
3321,honggfuzz,518,60,518,2296,4,re2-2014-12-09-IDX82
3322,eclipser,518,60,518,2249,5,re2-2014-12-09-IDX82
3323,afl,518,60,518,2215,6,re2-2014-12-09-IDX82
3324,afl,283,660,467,4246,1,freetype2-2017-IDX70
3325,aflplusplus,282,420,467,4301,2,freetype2-2017-IDX70
3326,eclipser,126,540,467,3913,3,freetype2-2017-IDX70
3327,honggfuzz,90,180,467,3882,4,freetype2-2017-IDX70
3328,libfuzzer,89,420,467,3482,5,freetype2-2017-IDX70
3329,entropic,89,900,467,3895,6,freetype2-2017-IDX70
3330,honggfuzz,29,240,52,1128,1,vorbis-2017-12-11-IDX14
3331,libfuzzer,28,900,52,1168,2,vorbis-2017-12-11-IDX14
3332,entropic,5,60,52,1074,3,vorbis-2017-12-11-IDX14
3333,afl,5,60,52,1054,4,vorbis-2017-12-11-IDX14
3334,aflplusplus,5,60,52,1049,5,vorbis-2017-12-11-IDX14
3335,eclipser,5,120,52,1064,6,vorbis-2017-12-11-IDX14
3336,aflplusplus,544,420,544,5195,1,curl_curl_fuzzer_http-IDX52
3337,honggfuzz,523,180,544,4962,2,curl_curl_fuzzer_http-IDX52
3338,entropic,509,60,544,4755,3,curl_curl_fuzzer_http-IDX52
3339,afl,509,60,544,4480,4,curl_curl_fuzzer_http-IDX52
3340,libfuzzer,509,60,544,4389,5,curl_curl_fuzzer_http-IDX52
3341,eclipser,509,120,544,4634,6,curl_curl_fuzzer_http-IDX52
3342,aflplusplus,470,60,1280,3830,1,freetype2-2017-IDX69
3343,eclipser,81,120,1280,3287,2,freetype2-2017-IDX69
3344,honggfuzz,81,180,1280,4081,3,freetype2-2017-IDX69
3345,afl,81,660,1280,3068,4,freetype2-2017-IDX69
3346,entropic,77,420,1280,3717,5,freetype2-2017-IDX69
3347,libfuzzer,77,660,1280,3780,6,freetype2-2017-IDX69
3348,honggfuzz,236,540,236,4939,1,curl_curl_fuzzer_http-IDX67
3349,aflplusplus,231,360,236,4930,2,curl_curl_fuzzer_http-IDX67
3350,eclipser,223,60,236,4304,3,curl_curl_fuzzer_http-IDX67
3351,afl,223,60,236,4302,4,curl_curl_fuzzer_http-IDX67
3352,libfuzzer,223,60,236,4267,5,curl_curl_fuzzer_http-IDX67
3353,entropic,223,180,236,4379,6,curl_curl_fuzzer_http-IDX67
3354,eclipser,409,840,419,6531,1,libxml2-v2.9.2-IDX36
3355,honggfuzz,402,840,419,6792,2,libxml2-v2.9.2-IDX36
3356,afl,395,720,419,5726,3,libxml2-v2.9.2-IDX36
3357,entropic,307,900,419,5305,4,libxml2-v2.9.2-IDX36
3358,aflplusplus,277,660,419,5152,5,libxml2-v2.9.2-IDX36
3359,libfuzzer,238,240,419,4243,6,libxml2-v2.9.2-IDX36
3360,afl,162,180,162,2669,1,openssl_x509-IDX50
3361,honggfuzz,162,300,162,2666,2,openssl_x509-IDX50
3362,aflplusplus,162,360,162,2745,3,openssl_x509-IDX50
3363,eclipser,162,660,162,2704,4,openssl_x509-IDX50
3364,entropic,143,360,162,3007,5,openssl_x509-IDX50
3365,libfuzzer,2,180,162,2148,6,openssl_x509-IDX50
3366,afl,38,60,38,929,1,libpng-1.2.56-IDX53
3367,aflplusplus,38,60,38,919,2,libpng-1.2.56-IDX53
3368,honggfuzz,38,60,38,903,3,libpng-1.2.56-IDX53
3369,entropic,38,180,38,964,4,libpng-1.2.56-IDX53
3370,eclipser,38,180,38,938,5,libpng-1.2.56-IDX53
3371,libfuzzer,38,540,38,951,6,libpng-1.2.56-IDX53
3372,aflplusplus,730,480,730,1706,1,libjpeg-turbo-07-2017-IDX63
3373,honggfuzz,132,720,730,631,2,libjpeg-turbo-07-2017-IDX63
3374,eclipser,128,60,730,598,3,libjpeg-turbo-07-2017-IDX63
3375,afl,128,60,730,591,4,libjpeg-turbo-07-2017-IDX63
3376,entropic,128,600,730,603,5,libjpeg-turbo-07-2017-IDX63
3377,libfuzzer,60,60,730,477,6,libjpeg-turbo-07-2017-IDX63
3378,entropic,61,180,66,2528,1,proj4-2017-08-14-IDX21
3379,honggfuzz,61,180,66,2352,2,proj4-2017-08-14-IDX21
3380,libfuzzer,61,540,66,2950,3,proj4-2017-08-14-IDX21
3381,aflplusplus,60,720,66,3067,4,proj4-2017-08-14-IDX21
3382,eclipser,54,540,66,1369,5,proj4-2017-08-14-IDX21
3383,afl,54,900,66,1309,6,proj4-2017-08-14-IDX21
3384,entropic,13,60,13,955,1,libpng-1.2.56-IDX94
3385,libfuzzer,13,60,13,946,2,libpng-1.2.56-IDX94
3386,honggfuzz,13,60,13,927,3,libpng-1.2.56-IDX94
3387,eclipser,13,60,13,922,4,libpng-1.2.56-IDX94
3388,afl,13,60,13,899,5,libpng-1.2.56-IDX94
3389,aflplusplus,13,120,13,966,6,libpng-1.2.56-IDX94
3390,aflplusplus,211,120,222,5321,1,libxslt_xpath-IDX10
3391,entropic,204,240,222,5896,2,libxslt_xpath-IDX10
3392,libfuzzer,185,60,222,5587,3,libxslt_xpath-IDX10
3393,honggfuzz,185,60,222,5476,4,libxslt_xpath-IDX10
3394,afl,185,60,222,5165,5,libxslt_xpath-IDX10
3395,eclipser,185,180,222,5206,6,libxslt_xpath-IDX10
3396,honggfuzz,304,480,306,1583,1,bloaty_fuzz_target-IDX17
3397,eclipser,246,420,306,1377,2,bloaty_fuzz_target-IDX17
3398,libfuzzer,246,540,306,1416,3,bloaty_fuzz_target-IDX17
3399,entropic,246,600,306,1410,4,bloaty_fuzz_target-IDX17
3400,aflplusplus,177,480,306,1318,5,bloaty_fuzz_target-IDX17
3401,afl,147,60,306,1045,6,bloaty_fuzz_target-IDX17
3402,honggfuzz,407,660,588,9533,1,php_php-fuzz-parser-IDX67
3403,entropic,339,720,588,8918,2,php_php-fuzz-parser-IDX67
3404,libfuzzer,297,420,588,7522,3,php_php-fuzz-parser-IDX67
3405,aflplusplus,294,900,588,7872,4,php_php-fuzz-parser-IDX67
3406,afl,292,900,588,7766,5,php_php-fuzz-parser-IDX67
3407,eclipser,286,900,588,7497,6,php_php-fuzz-parser-IDX67
3408,libfuzzer,59,60,61,3121,1,proj4-2017-08-14-IDX68
3409,entropic,59,60,61,1778,2,proj4-2017-08-14-IDX68
3410,afl,59,120,61,1819,3,proj4-2017-08-14-IDX68
3411,honggfuzz,59,180,61,2103,4,proj4-2017-08-14-IDX68
3412,aflplusplus,59,240,61,1695,5,proj4-2017-08-14-IDX68
3413,eclipser,59,480,61,2090,6,proj4-2017-08-14-IDX68
3414,aflplusplus,375,780,435,4868,1,harfbuzz-1.3.2-IDX57
3415,honggfuzz,288,900,435,3664,2,harfbuzz-1.3.2-IDX57
3416,eclipser,41,60,435,2764,3,harfbuzz-1.3.2-IDX57
3417,afl,40,60,435,2881,4,harfbuzz-1.3.2-IDX57
3418,libfuzzer,40,60,435,2776,5,harfbuzz-1.3.2-IDX57
3419,entropic,40,60,435,2773,6,harfbuzz-1.3.2-IDX57
3420,aflplusplus,17,60,17,2032,1,openthread-2019-12-23-IDX81
3421,entropic,17,60,17,1982,2,openthread-2019-12-23-IDX81
3422,libfuzzer,17,60,17,1982,2,openthread-2019-12-23-IDX81
3423,eclipser,17,60,17,1922,3,openthread-2019-12-23-IDX81
3424,honggfuzz,17,60,17,1900,4,openthread-2019-12-23-IDX81
3425,afl,17,60,17,1857,5,openthread-2019-12-23-IDX81
3426,honggfuzz,88,840,150,1478,1,lcms-2017-03-21-IDX41
3427,eclipser,79,780,150,1508,2,lcms-2017-03-21-IDX41
3428,aflplusplus,76,360,150,1370,3,lcms-2017-03-21-IDX41
3429,afl,75,900,150,1337,4,lcms-2017-03-21-IDX41
3430,entropic,74,540,150,1347,5,lcms-2017-03-21-IDX41
3431,libfuzzer,63,780,150,1264,6,lcms-2017-03-21-IDX41
3432,aflplusplus,24,60,24,571,1,vorbis-2017-12-11-IDX98
3433,honggfuzz,24,60,24,458,2,vorbis-2017-12-11-IDX98
3434,afl,24,60,24,417,3,vorbis-2017-12-11-IDX98
3435,entropic,24,60,24,417,3,vorbis-2017-12-11-IDX98
3436,libfuzzer,24,60,24,413,4,vorbis-2017-12-11-IDX98
3437,eclipser,24,60,24,413,4,vorbis-2017-12-11-IDX98
3438,aflplusplus,36,60,36,1788,1,mbedtls_fuzz_dtlsclient-IDX33
3439,honggfuzz,36,60,36,1752,2,mbedtls_fuzz_dtlsclient-IDX33
3440,afl,36,60,36,1720,3,mbedtls_fuzz_dtlsclient-IDX33
3441,eclipser,36,60,36,1718,4,mbedtls_fuzz_dtlsclient-IDX33
3442,entropic,36,60,36,1710,5,mbedtls_fuzz_dtlsclient-IDX33
3443,libfuzzer,36,60,36,1691,6,mbedtls_fuzz_dtlsclient-IDX33
3444,honggfuzz,363,720,373,5031,1,curl_curl_fuzzer_http-IDX31
3445,aflplusplus,184,60,373,4465,2,curl_curl_fuzzer_http-IDX31
3446,afl,184,60,373,4303,3,curl_curl_fuzzer_http-IDX31
3447,eclipser,184,60,373,4190,4,curl_curl_fuzzer_http-IDX31
3448,libfuzzer,184,120,373,4210,5,curl_curl_fuzzer_http-IDX31
3449,entropic,184,660,373,4451,6,curl_curl_fuzzer_http-IDX31
3450,afl,201,60,201,2374,1,re2-2014-12-09-IDX35
3451,libfuzzer,201,60,201,2348,2,re2-2014-12-09-IDX35
3452,entropic,201,60,201,2347,3,re2-2014-12-09-IDX35
3453,aflplusplus,201,60,201,2319,4,re2-2014-12-09-IDX35
3454,honggfuzz,201,60,201,2309,5,re2-2014-12-09-IDX35
3455,eclipser,201,60,201,2271,6,re2-2014-12-09-IDX35
3456,eclipser,319,660,406,8593,1,sqlite3_ossfuzz-IDX48
3457,honggfuzz,289,900,406,8590,2,sqlite3_ossfuzz-IDX48
3458,afl,236,660,406,8874,3,sqlite3_ossfuzz-IDX48
3459,entropic,223,600,406,7953,4,sqlite3_ossfuzz-IDX48
3460,aflplusplus,185,660,406,7707,5,sqlite3_ossfuzz-IDX48
3461,libfuzzer,127,840,406,6639,6,sqlite3_ossfuzz-IDX48
3462,libfuzzer,12,60,34,2224,1,openssl_x509-IDX36
3463,aflplusplus,12,60,34,2088,2,openssl_x509-IDX36
3464,eclipser,12,60,34,2087,3,openssl_x509-IDX36
3465,afl,12,60,34,2083,4,openssl_x509-IDX36
3466,honggfuzz,12,60,34,2066,5,openssl_x509-IDX36
3467,entropic,12,60,34,2063,6,openssl_x509-IDX36
3468,aflplusplus,584,420,584,10085,1,php_php-fuzz-parser-IDX75
3469,honggfuzz,584,540,584,9981,2,php_php-fuzz-parser-IDX75
3470,afl,584,720,584,10193,3,php_php-fuzz-parser-IDX75
3471,libfuzzer,584,780,584,10409,4,php_php-fuzz-parser-IDX75
3472,entropic,583,180,584,9436,5,php_php-fuzz-parser-IDX75
3473,eclipser,573,780,584,9824,6,php_php-fuzz-parser-IDX75
3474,aflplusplus,65,60,375,2073,1,openthread-2019-12-23-IDX36
3475,eclipser,65,60,375,1939,2,openthread-2019-12-23-IDX36
3476,honggfuzz,65,120,375,2022,3,openthread-2019-12-23-IDX36
3477,afl,65,180,375,2093,4,openthread-2019-12-23-IDX36
3478,entropic,57,60,375,1991,5,openthread-2019-12-23-IDX36
3479,libfuzzer,57,60,375,1974,6,openthread-2019-12-23-IDX36
3480,eclipser,767,900,2261,8118,1,sqlite3_ossfuzz-IDX6
